
* E' la lingua che tutte le razze intelligenti generalmente conoscono.
#LANGUAGE
Name        comune~
LangNumber  LANGUAGE_COMMON
Valid       True
PreCnvList
~
Alphabet    abcdefghijklmnopqrstuvwxyz~
CnvList
~
End


* E' la lingua degli hobbit dai suoni allegri e vivaci.
#LANGUAGE
Name        halfling~
LangNumber  LANGUAGE_HALFLING
Valid       True
PreCnvList
'acqua'         'nin'
'allegro'       'kali'
'arruffare'     'luthran'
'birra'         'him'
'borsa'         'laban'
'burro'         'zilib'
'capanna'       'hloth'
'capra'         'gamba'
'casetta'       'hloth'
'che'           'bas'
'comune'        'soval'
'confine'       'branda'
'coniglietto'   'tapuc'
'coniglio'      'tapuc'
'contea'        'suza'
'corno'         'ras'
'cotone'        'hlothran'
'felice'        'kali'
'fine'          'neg'
'gioco'         'galab'
'gioioso'       'kali'
'guardia'       'tudnas'
'halfling'      'banakil'
'hobbit'        'kuduk'
'inebriante'    'bralda'
'interlocutore' 'batta'
'marcia'        'branda'
'mela'          'razar'
'metà'          'ban'
'moneta'        'castar'
'nano'          'narag'
'oro'           'castar'
'orribile'      'balc'
'parlato'       'phare'
'pelo'          'luthran'
'peluria'       'luthran'
'persone'       'nas'
'protegge'      'tudnas'
'protuberanza'  'bolg'
'quarto'        'tharantin'
'ricercare'     'phur'
'rimanere'      'gad'
'ronzare'       'raph'
'saggio'        'zir'
'semplice'      'banazir'
'soffiare'      'put'
'soffiatore'    'puta'
'sorriso'       'tran'
'spaccato'      'karnin'
'straniero'     'raza'
'uomini'        'nas'
'valle'         'gul'
'vecchio'       'zara'
'veloce'        'bara'
'villaggio'     'ran'

~
Alphabet    epcdalbhojcrnmigqfsbuvvxyz~
CnvList
~
End


* Il melodioso e delicato linguaggio elfico
#LANGUAGE
Name        elfico~
LangNumber  LANGUAGE_ELVEN
Valid       True
PreCnvList
'albero'      'alda'
'amico'       'mellon'
'appassito'   'quelle'
'arco'        'luva'
'aria'        'vilya'
'autunno'     'yavie'
'bocca'       'anto'
'brezza'      'hwesta'
'cancello'    'ando'
'cielo'       'vilya'
'concavità'   'unque'
'cresciuto'   'loa'
'cuore'       'ore'
'dire'        'pedo'
'dono'        'anna'
'entrare'     'minno'
'est'         'romen'
'estate'      'laire'
'fato'        'umbar'
'fatto'       'echant'
'fauci'       'anca'
'ferro'       'anga'
'foga'        'ure'
'foschia'     'hisime'
'furia'       'aha'
'incontro'    'omentielvo'
'inverno'     'hrive'
'l'ora'       'lumenn'
'lampada'     'calma'
'libro'       'parma'
'lingua'      'lambe'
'loro'        'hain'
'luce delle stelle' 'silme'
'luce solare' 'are'
'luna'        'isil'
'metallo'     'tinco'
'nome'        'esse'
'nord'        'formen'
'oro'         'malta'
'ovest'       'numen'
'pietra'      'ssar'
'piuma'       'quesse'
'ponte'       'yanta'
'potere'      'vala'
'primavera'   'thuile'
'questi'      'thiw'
'regione'     'arda'
'rete'        'ungwe'
'ridestato'   'coire'
'secolo'      'haranye'
'segni'       'hin'
'settimana'   'enquie'
'sogno'       'lorien'
'spirito'     'thule'
'splendente'  'sila'
'splendente'  'sila'
'stella'      'elen'
'sud'         'hyarmen'
'tesoro'      'harma'
'tirato'      'teithant'
'tormento'    'nwalme'
'uncino'      'ampa'
'ck'  'ss'
'd'   'ng'
'di'  'ane'
'e'   'owe'
'es'  'a'
'g z' 's v'
'j'   'sh'
'ng'  'r'
'p'   'st'
'r'   'th'
'sc'  'a'
'sh'  'vr'
'st'  'ma'
'th'  'n'
'xx'  'sth'
'z'   'dh'
~
Alphabet    iqqdakvtujfwghepcrslybszoz~
CnvList
'qq' 'q'
'rr' 'r'
~
End


* Il nanico opposto del linguaggio elfico con suoni aspri e duri
#LANGUAGE
Name        nanesco~
LangNumber  LANGUAGE_DWARVEN
Valid       True
PreCnvList
'argento'       'kibil'
'asce'          'baruk'
'ascia'         'burk'
'atrio'         'dum'
'cesello'       'felak'
'corno'         'inbar'
'cunicolo'      'gunud'
'filone'        'nala'
'fortezza'      'gathol'
'gesto'         'iglishmek'
'grande'        'gabil'
'i nani'        'khazad'
'lago'          'zaram'
'letto'         'nala'
'linguaggio'    'aglab'
'lungo'         'sigin'
'mansione'      'dum'
'nanesco'       'khazlyth'
'nani'          'khazad'
'nano'          'khazl'
'nuvole'        'shathur'
'orco'          'rukhs'
'passo'         'nala'
'pozza d'acqua' 'zaram'
'rosso'         'baraz'
'scavo'         'dum'
'scherzoso'     'bizar'
'signore'       'uzbad'
'sottosuolo'    'gundu'
'spaccare'      'felek'
'spuntone'      'zigil'
'su di te'      'ai-menu'
'su'            'aya'
'testa'         'bund'
'testimonianze' 'mazarbul'
'valle'         'bizar'
'ar'  'az'
'ath' 'ak'
'ch'  'k'
'dw'  'kh'
'ee'  'au'
'en'  'yth'
'es'  'ad'
'eth' 'ok'
'ick' 'uzk'
'ion' 'um'
'ith' 'uk'
'io'  'ka'
'mio' 'kaz'
'di'  'uv'
'ome' 'um'
'oo'  'uu'
'ove' 'uzo'
'rf'  'zl'
'th'  'gn'
'a'   'or'
'tu'  'enu'
'ul'  'uzl'
'uth' 'uz'
~
Alphabet    ubkdukggagkrzrypkdztibmzgo~
CnvList
~
End


* Linguaggio degli Ogre, fatto essenzialmente di suoni aspri e gutturali
#LANGUAGE
Name        ogrese~
LangNumber  LANGUAGE_OGRE
Valid       True
PreCnvList
'ciao'     'grug'
'comprare' 'tog'
'con'      '(grunt)'
'prendere' 'tog'
'rubare'   'tog'
'salve'    'grog'
'uccidere' 'hak'
'venire'   'rawg'
'a'   'og'
'ar'  'arg'
'ath' 'ak'
'ch'  'k'
'di'  'uguf'
'ee'  'au'
'en'  'yth'
'es'  'ad'
'eth' 'ok'
'ick' 'uk'
'ion' 'um'
'ith' 'uk'
'me'  'ug'
'mio' 'ug'
'ome' 'um'
'oo'  'uu'
'ove' 'umm'
'th'  'gn'
'tu'  'guk'
'ul'  'um'
'uth' 'uz'
~
Alphabet    ufkdubrgugzpnmugkgztabtzom~
CnvList
~
End


* Trollese simile all'orchesco, è assimilabile ai grugniti di queste creature
#LANGUAGE
Name        trollese~
LangNumber  LANGUAGE_TROLLISH
Valid       True
PreCnvList
'ciao'     'grug'
'comprare' 'tog'
'con'      '(grunt)'
'prendere' 'tog'
'rubare'   'tog'
'salve'    'grog'
'uccidere' 'hak'
'venire'   'rawg'
'a'   'og'
'ar'  'arg'
'ath' 'ak'
'ch'  'k'
'di'  'uguf'
'ee'  'au'
'en'  'yth'
'es'  'ad'
'eth' 'ok'
'ick' 'uk'
'ion' 'um'
'ith' 'uk'
'me'  'ug'
'mio' 'ug'
'ome' 'um'
'oo'  'uu'
'ove' 'umm'
'th'  'gn'
'tu'  'guk'
'ul'  'um'
'uth' 'uz'
~
Alphabet    ufkdubrgugzpnmugkgztabtzom~
CnvList
~
End


* Linguaggio dei goblin versione "imbastardita" del linguaggio elfico
#LANGUAGE
Name        goblinese~
LangNumber  LANGUAGE_GOBLIN
Valid       True
PreCnvList
'ciao'     'gorg'
'comprare' 'muk'
'con'      'bat'
'prendere' 'kham'
'rubare'   'kzam'
'salve'    'khalok'
'uccidere' 'vak'
'venire'   'kurta'
'a'   'sek'
'ar'  'arg'
'ath' 'ohk'
'ch'  'k'
'ee'  'ou'
'en'  'yth'
'es'  'ac'
'eth' 'om'
'ick' 'uk'
'ion' 'um'
'ith' 'uuk'
'me'  'mok'
'mio' 'mal'
'of'  'tuk'
'ome' 'ask'
'oo'  'uu'
'ove' 'aah'
'th'  'gn'
'tu'  'snar'
'ul'  'um'
'uth' 'um'
~
Alphabet    oktpabkhugzpnmuxrgztebyzow~
CnvList
~
End


* Simile al linguaggio dei goblin... un po' più sporco
#LANGUAGE
Name        orchesco~
LangNumber  LANGUAGE_ORCISH
Valid       True
PreCnvList
'anello'       'nazg'
'bastardo'     'sha'
'borsa'        'cess'
'ciao'         'gorg'
'comandare'    'durbat'
'comando'      'durb'
'comprare'     'muk'
'con'          'bat'
'custodi dell'anello' 'nazgul'
'e'            'agh'
'folle'        'glob'
'fuoco'        'ghash'
'gente'        'hai'
'grande'       'bubhosh'
'in'           'ishi'
'incatena'     'krimp'
'incatenare'   'krimpat'
'ira'          'gul'
'loro'         'ul'
'ness'         'um'
'orco'         'uruk'
'oscuro'       'burz'
'pazzo'        'glob'
'portare'      'thrak'
'portare'      'thrakat'
'pozza'        'ronk'
'prendere'     'kham'
'rubare'       'kzam'
'salve'        'khalok'
'schiavo'      'snaga'
'stupido'      'shai'
